language,category,author,tier,max_selected,max_total
NL,HISTORY_SOCIETY,Frits van Oostrom,1,6,9
NL,HISTORY_SOCIETY,Gert Oostindie,2,6,9
NL,HISTORY_SOCIETY,Ad van Liempt,2,6,9
NL,HISTORY_SOCIETY,Luc Panhuysen,2,6,9
NL,ESSAYS_PHILOSOPHY,Spinoza,1,6,9
NL,ESSAYS_PHILOSOPHY,Erasmus,1,5,8
NL,ESSAYS_PHILOSOPHY,Johan Huizinga,1,6,9
NL,ESSAYS_PHILOSOPHY,Rob Wijnberg,2,5,8
NL,ESSAYS_PHILOSOPHY,Bas Heijne,1,7,10
NL,ESSAYS_PHILOSOPHY,Paul Cliteur,2,5,8
NL,ESSAYS_PHILOSOPHY,Hans Achterhuis,1,7,10
NL,ESSAYS_PHILOSOPHY,Marli Huijer,2,5,8
NL,ESSAYS_PHILOSOPHY,René ten Bos,2,5,8
NL,ESSAYS_PHILOSOPHY,Joep Dohmen,2,5,8
NL,ESSAYS_PHILOSOPHY,Coen Simon,2,5,8
NL,ESSAYS_PHILOSOPHY,Frank Furedi,3,4,6
NL,SCIENCE_CULTURE,Robbert Dijkgraaf,1,7,10
NL,SCIENCE_CULTURE,Vincent Icke,1,7,10
NL,SCIENCE_CULTURE,Govert Schilling,1,8,12
NL,SCIENCE_CULTURE,Ionica Smeets,2,6,9
NL,SCIENCE_CULTURE,Louise Fresco,1,7,10
NL,SCIENCE_CULTURE,Midas Dekkers,1,8,12
NL,SCIENCE_CULTURE,Dick Swaab,2,6,9
NL,SCIENCE_CULTURE,Freek Vonk,3,5,8
NL,SCIENCE_CULTURE,Diederik Jekel,3,5,8
NL,SCIENCE_CULTURE,Maarten Boudry,2,5,8
NL,GRAPHIC,Willy Vandersteen,1,10,15
NL,GRAPHIC,Marc Sleen,1,10,15
NL,GRAPHIC,Jef Nys,2,8,12
NL,GRAPHIC,Merho,1,8,12
NL,GRAPHIC,Urbanus,2,7,10
NL,GRAPHIC,Jan Bosschaert,2,6,9
NL,GRAPHIC,Peter van Dongen,1,5,8
NL,GRAPHIC,Aimée de Jongh,1,6,9
NL,GRAPHIC,Typex,2,5,8
NL,GRAPHIC,Judith Vanistendael,1,6,9
NL,GRAPHIC,Brecht Evens,1,6,9
