source_key,title,subtitle,authors,publication_year,isbn,publisher,genres,review_group,decision,reason
/books/OL21926209M,Short stories,,Luigi Pirandello,1975,9780192811608,Oxford University Press,Fiction,FIRST_PASS,REPLACE,"Notice à remplacer: édition étrangère, classement linguistique inadéquat ou qualité bibliographique insuffisante pour le socle IT."
/books/OL4490777M,Six characters in search of an author,,Luigi Pirandello,1979,9780413460301,Eyre Methuen,Théâtre,FIRST_PASS,REPLACE,"Notice à remplacer: édition étrangère, classement linguistique inadéquat ou qualité bibliographique insuffisante pour le socle IT."
/books/OL2394887M,Tales of suicide,a selection from Luigi Pirandello's short stories for a year,Luigi Pirandello,1988,9780937832318,Dante University of America Press,Fiction,FIRST_PASS,REPLACE,"Notice à remplacer: édition étrangère, classement linguistique inadéquat ou qualité bibliographique insuffisante pour le socle IT."
/books/OL13533552M,The late Mattia Pascal,(Il fu Mattia Pascal),Luigi Pirandello,1923,,E. P. Dutton & Company,Biographie | Fiction,FIRST_PASS,REPLACE,"Notice à remplacer: édition étrangère, classement linguistique inadéquat ou qualité bibliographique insuffisante pour le socle IT."
/books/OL22441070M,Arrivano i Fortune! = The good fortunes gang,,Margaret Mahy,1997,9788804415091,Arnoldo Mondadori Editore,Fiction,FIRST_PASS,KEEP_TRANSLATION,Édition ou traduction italienne validée lors de la revue éditoriale IT.
/books/OL21163116M,That bowling alley on the Tiber,tales of a director,Michelangelo Antonioni,1986,9780195036763,Oxford University Press,Fiction,FIRST_PASS,REPLACE,"Notice à remplacer: édition étrangère, classement linguistique inadéquat ou qualité bibliographique insuffisante pour le socle IT."
/books/OL23428050M,"Catalogo di alcune opere attinenti alle scienze, alle arti e ad altri bisogni dell'uomo, le ...",,Michele Colombo,1812,,Dalla Tipografia Mussi,Sciences,FIRST_PASS,KEEP_CORE,Socle italien validé lors de la revue éditoriale IT.
/books/OL13430633M,Matematica generale con il calcolatore (UNITEXT / La Matematica per il 3+2),,Michele Impedovo,2004,9788847002586,Springer,Technologie,FIRST_PASS,KEEP_CORE,Socle italien validé lors de la revue éditoriale IT.
/books/OL13431629M,Trieste,Raccolte Dei Civici Musei Di Storia Ed Arte E Rilievi Del Propileo 1,"Monika; Civici musei di storia ed arte di Trieste; Camuffo, Michela Verzar-Bass",2003,9788871402468,Quasar,,FIRST_PASS,REVIEW,"Notice conservée en revue: langue, édition, attribution, doublon ou qualité bibliographique restant à confirmer."
/books/OL6459524M,Les essais de Michel de Montaigne.,,"Montaigne, Michel de",1669,,"L. Rondet, C. Iovrnel, et R. Chevillion",Histoire | Philosophie | Politique | Éducation,FIRST_PASS,REPLACE,"Notice à remplacer: édition étrangère, classement linguistique inadéquat ou qualité bibliographique insuffisante pour le socle IT."
/books/OL12850044M,Cura Aquarum in Campania Proceedings of the Ninth International Congress on the History of Water Management and Hydraulic Engineering in the Mediterra (Bulletin Antieke Beschaving),,Nathalie de Haan,1996,9789068318449,Stichting Babesch,Histoire,FIRST_PASS,REVIEW,"Notice conservée en revue: langue, édition, attribution, doublon ou qualité bibliographique restant à confirmer."
/books/OL5629164M,Nicholas Machiavel's Prince.,,Niccolò Machiavelli,1968,,Theatrum Orbis Terrarum,Politique,FIRST_PASS,REPLACE,"Notice à remplacer: édition étrangère, classement linguistique inadéquat ou qualité bibliographique insuffisante pour le socle IT."
/books/OL18636096M,The prince and other political writings,,Niccolò Machiavelli,1981,9780460112802,Dent,Politique,FIRST_PASS,REPLACE,"Notice à remplacer: édition étrangère, classement linguistique inadéquat ou qualité bibliographique insuffisante pour le socle IT."
/books/OL16857836M,The idea of a living spirit,poetic logic as a contemporary theory,Paul Colilli | Paul A. Colilli,1997,9780802041005,University of Toronto Press,Biographie | Poésie,FIRST_PASS,REPLACE,"Notice à remplacer: édition étrangère, classement linguistique inadéquat ou qualité bibliographique insuffisante pour le socle IT."
/books/OL21011362M,I principj della filosofia di Renato Des-Cartes,tradotti del Francese col confronto del Latino in cui l'autore gli scrisse,René Descartes,1722,,Per Gio. Francesco Mairesse,Philosophie | Sciences,FIRST_PASS,KEEP_TRANSLATION,Édition ou traduction italienne validée lors de la revue éditoriale IT.
/books/OL52386277M,Discourses,,"Richardson, Brian | Niccolò Machiavelli | Ninian Hill Thomson | Bernard Crick | Leslie Walker",1950,,Yale University Press,Politique,FIRST_PASS,REPLACE,"Notice à remplacer: édition étrangère, classement linguistique inadéquat ou qualité bibliographique insuffisante pour le socle IT."
/books/OL15304905M,Atti della prima Riunione degli scienziati italiani,tenuta in Pisa nell'ottobre del 1839.,"Riunione degli scienziati italiani (1st 1839 Pisa, Italy)",1840,,Tip. Nistri,Sciences,FIRST_PASS,KEEP_CORE,Socle italien validé lors de la revue éditoriale IT.
/books/OL17315420M,Sol LeWitt,"opere recenti : pyramids, complex forms e folding screens",Shariann Lewitt,1992,9788843531745,Electa Editori Umbri,,FIRST_PASS,REVIEW,"Notice conservée en revue: langue, édition, attribution, doublon ou qualité bibliographique restant à confirmer."
/books/OL22708772M,Sol LeWitt,"wall drawing 1126 whirls and twirls 1, Reggio Emilia : invito a Luciano Fabro, Sol LeWitt, Eliseo Mattiacci, Robert Morris, Richard Serra",Shariann Lewitt,2004,9788873361220,Gli ori,,FIRST_PASS,REVIEW,"Notice conservée en revue: langue, édition, attribution, doublon ou qualité bibliographique restant à confirmer."
/books/OL13996792M,Bollettino della Società dei naturalisti in Napoli,,Società dei naturalisti in Napoli.,1887,,Giannini [etc.],Sciences,FIRST_PASS,KEEP_CORE,Socle italien validé lors de la revue éditoriale IT.
/books/OL26397147M,Alien Nation,,Alan Dean Foster,1989,9788845402302,Sonzogno,,FOREIGN_AUTHORS,KEEP_TRANSLATION,Édition ou traduction italienne validée lors de la revue éditoriale IT.
/books/OL62359422M,Filogenesi,,Alan Dean Foster,2002,,Nord,Fiction | Science-fiction,FOREIGN_AUTHORS,KEEP_TRANSLATION,Édition ou traduction italienne validée lors de la revue éditoriale IT.
/books/OL62359808M,Flinx nella terra di mezzo,,Alan Dean Foster,1995,,Editrice Nord,Fiction | Science-fiction,FOREIGN_AUTHORS,KEEP_TRANSLATION,Édition ou traduction italienne validée lors de la revue éditoriale IT.
/books/OL62359748M,Incontri pericolosi,,Alan Dean Foster,2003,,Editrice Nord,Fiction | Science-fiction,FOREIGN_AUTHORS,KEEP_TRANSLATION,Édition ou traduction italienne validée lors de la revue éditoriale IT.
/books/OL62359815M,Krull,,Alan Dean Foster,1984,,Urania,Fantasy | Science-fiction,FOREIGN_AUTHORS,KEEP_TRANSLATION,Édition ou traduction italienne validée lors de la revue éditoriale IT.
/books/OL62359803M,La fine della vicenda,,Alan Dean Foster,1982,,Editrice Nord,Fiction,FOREIGN_AUTHORS,KEEP_TRANSLATION,Édition ou traduction italienne validée lors de la revue éditoriale IT.
/books/OL62359797M,Stella orfana,,Alan Dean Foster,1979,,Editrice Nord,Fiction | Science-fiction,FOREIGN_AUTHORS,KEEP_TRANSLATION,Édition ou traduction italienne validée lors de la revue éditoriale IT.
/books/OL62359759M,Terra di Mezzo,,Alan Dean Foster,1977,,Editrice Nord,Fiction,FOREIGN_AUTHORS,KEEP_TRANSLATION,Édition ou traduction italienne validée lors de la revue éditoriale IT.
/books/OL20203259M,Il cromosoma Calcutta,,Amitav Ghosh,,9788806156107,Einaudi,Fiction,FOREIGN_AUTHORS,KEEP_TRANSLATION,Édition ou traduction italienne validée lors de la revue éditoriale IT.
/books/OL23942462M,Mare di Papaveri,,Amitav Ghosh,2009,9788854502208,Neri Pozza,Fiction | Histoire,FOREIGN_AUTHORS,KEEP_TRANSLATION,Édition ou traduction italienne validée lors de la revue éditoriale IT.
/books/OL39813735M,Gli anni,,Annie Ernaux,2015,9788898038169,L'orma,Biographie | Histoire,FOREIGN_AUTHORS,KEEP_TRANSLATION,Édition ou traduction italienne validée lors de la revue éditoriale IT.
/books/OL32132773M,Il posto,,Annie Ernaux,2014,9788898038152,L'orma,Fiction,FOREIGN_AUTHORS,KEEP_TRANSLATION,Édition ou traduction italienne validée lors de la revue éditoriale IT.
/books/OL47519662M,La vergogna,,Annie Ernaux,2018,9788899793593,L'orma,Biographie,FOREIGN_AUTHORS,KEEP_TRANSLATION,Édition ou traduction italienne validée lors de la revue éditoriale IT.
/books/OL13430352M,Il Piccolo Principe,,Antoine de Saint-Exupéry,2002,9788845230455,Distribooks Inc,Fantasy | Fiction | Philosophie | Théâtre,FOREIGN_AUTHORS,KEEP_TRANSLATION,Édition ou traduction italienne validée lors de la revue éditoriale IT.
/books/OL47938633M,Pilota di guerra,,Antoine de Saint-Exupéry,1944,,Casa editrice Partenia,Biographie,FOREIGN_AUTHORS,KEEP_TRANSLATION,Édition ou traduction italienne validée lors de la revue éditoriale IT.
/books/OL38212484M,Volo di notte,,Antoine de Saint-Exupéry,1991,9788804347002,Mondadori,Biographie | Fiction,FOREIGN_AUTHORS,KEEP_TRANSLATION,Édition ou traduction italienne validée lors de la revue éditoriale IT.
/books/OL16522151M,Autorità e individuo.,,Bertrand Russell,1971,,Longanesi,Philosophie | Politique,FOREIGN_AUTHORS,KEEP_TRANSLATION,Édition ou traduction italienne validée lors de la revue éditoriale IT.
/books/OL15457632M,L' ABC della relatività.,,Bertrand Russell,1976,,Longanesi,Sciences,FOREIGN_AUTHORS,KEEP_TRANSLATION,Édition ou traduction italienne validée lors de la revue éditoriale IT.
/books/OL16197094M,L' analisi della materia.,,Bertrand Russell,1964,,Longanesi,Philosophie,FOREIGN_AUTHORS,KEEP_TRANSLATION,Édition ou traduction italienne validée lors de la revue éditoriale IT.
/books/OL35719243M,1984,,George Orwell,2013,9788804627821,Mondadori,Fantasy | Fiction | Politique | Science-fiction | Théâtre,FOREIGN_AUTHORS,KEEP_TRANSLATION,Édition ou traduction italienne validée lors de la revue éditoriale IT.
/books/OL27068301M,La fattoria degli animali,,George Orwell,2007,9788804492528,Mondadori,Fiction | Politique,FOREIGN_AUTHORS,KEEP_TRANSLATION,Édition ou traduction italienne validée lors de la revue éditoriale IT.
/books/OL36691977M,L'uomo che credeva di non avere più tempo,,Guillaume Musso,2006,9788848603393,Sonzogno,,FOREIGN_AUTHORS,KEEP_TRANSLATION,Édition ou traduction italienne validée lors de la revue éditoriale IT.
/books/OL27083962M,Quando si ama non scende mai la notte,,Guillaume Musso,2008,9788817019989,Rizzoli,Fiction,FOREIGN_AUTHORS,KEEP_TRANSLATION,Édition ou traduction italienne validée lors de la revue éditoriale IT.
/books/OL25562053M,Sulla violenza,,Hannah Arendt,2002,9788882463885,U. Guanda,Philosophie | Politique,FOREIGN_AUTHORS,KEEP_TRANSLATION,Édition ou traduction italienne validée lors de la revue éditoriale IT.
/books/OL16607252M,Vita activa,la condizione umana,Hannah Arendt,1991,,Bompiani,Philosophie | Politique | Sciences sociales | Technologie | Économie et entreprise,FOREIGN_AUTHORS,KEEP_TRANSLATION,Édition ou traduction italienne validée lors de la revue éditoriale IT.
/books/OL13851630M,Betsy,,Harold Robbins,1976,,Club Italiano dei Lettori,,FOREIGN_AUTHORS,KEEP_TRANSLATION,Édition ou traduction italienne validée lors de la revue éditoriale IT.
/books/OL13852935M,I mercanti di sogni,,Harold Robbins,1984,,Arnoldo Mondadori Editore,,FOREIGN_AUTHORS,KEEP_TRANSLATION,Édition ou traduction italienne validée lors de la revue éditoriale IT.
/books/OL6378235M,Helena.,,Helen Caldwell | Machado de Assis,1937,,"W. M. Jackson, inc.",,FOREIGN_AUTHORS,REVIEW,"Notice conservée en revue: langue, édition, attribution, doublon ou qualité bibliographique restant à confirmer."
/books/OL31955606M,Bartleby lo scrivano,una storia di Wall Street,Herman Melville,2013,9788817067997,Rizzoli,Biographie | Fiction,FOREIGN_AUTHORS,KEEP_TRANSLATION,Édition ou traduction italienne validée lors de la revue éditoriale IT.
/books/OL25264802M,Billy Budd il marinaio,,Herman Melville,1993,9788879832007,Newton,Fiction,FOREIGN_AUTHORS,KEEP_TRANSLATION,Édition ou traduction italienne validée lors de la revue éditoriale IT.
/books/OL24591549M,"Moby-Dick, la balena bianca (italian edition)",la balena bianca,Herman Melville,2010,,luca pecchini,Fiction | Histoire | Théâtre,FOREIGN_AUTHORS,REVIEW,"Notice conservée en revue: langue, édition, attribution, doublon ou qualité bibliographique restant à confirmer."
/books/OL27108351M,Taipi,(sguardo alla vita Polinesiana),Herman Melville,1951,,A. Mondadori,Biographie | Fiction | Voyage,FOREIGN_AUTHORS,KEEP_TRANSLATION,Édition ou traduction italienne validée lors de la revue éditoriale IT.
/books/OL26888514M,Finzioni,,Jorge Luis Borges,1988,,Einaudi,Fiction,FOREIGN_AUTHORS,KEEP_TRANSLATION,Édition ou traduction italienne validée lors de la revue éditoriale IT.
/books/OL36636673M,Il manoscritto di Brodie,,Jorge Luis Borges,2010,9788845914492,Adelphi,,FOREIGN_AUTHORS,KEEP_TRANSLATION,Édition ou traduction italienne validée lors de la revue éditoriale IT.
/books/OL32051018M,Il giro del mondo in ottanta giorni,,Jules Verne,2008,9788861753020,JoyBook,Fantasy | Fiction | Science-fiction | Sciences | Thriller | Voyage,FOREIGN_AUTHORS,KEEP_TRANSLATION,Édition ou traduction italienne validée lors de la revue éditoriale IT.
/books/OL22929920M,Viaggio al centro della terra,,Jules Verne,1989,9788806114688,Einaudi,Fiction | Science-fiction | Thriller,FOREIGN_AUTHORS,KEEP_TRANSLATION,Édition ou traduction italienne validée lors de la revue éditoriale IT.
/books/OL35237180M,alienista,,Machado de Assis,2021,9798456055965,Independently Published,Fiction | Histoire,FOREIGN_AUTHORS,REVIEW,"Notice conservée en revue: langue, édition, attribution, doublon ou qualité bibliographique restant à confirmer."
/books/OL6378236M,Dom Casmurro.,,Machado de Assis,1937,,W. M. Jackson inc.,Fiction,FOREIGN_AUTHORS,REVIEW,"Notice conservée en revue: langue, édition, attribution, doublon ou qualité bibliographique restant à confirmer."
/books/OL18597409M,Amori ridicoli.,,Milan Kundera,1994,9788845910784,Adelphi Edizioni,Fiction,FOREIGN_AUTHORS,KEEP_TRANSLATION,Édition ou traduction italienne validée lors de la revue éditoriale IT.
/books/OL32351351M,Lo scherzo,,Milan Kundera,1991,9788845908033,Adelphi,Fiction | Politique,FOREIGN_AUTHORS,KEEP_TRANSLATION,Édition ou traduction italienne validée lors de la revue éditoriale IT.
/books/OL44877027M,La conquista del pane,,Peter Kropotkin,1899,,Biblioteca Sociale Libertaria,Histoire | Politique,FOREIGN_AUTHORS,KEEP_TRANSLATION,Édition ou traduction italienne validée lors de la revue éditoriale IT.
/books/OL30151424M,La scienza moderna e l'anarchia,,Peter Kropotkin,1913,,Edizione del Risveglio,Histoire | Philosophie | Sciences,FOREIGN_AUTHORS,KEEP_TRANSLATION,Édition ou traduction italienne validée lors de la revue éditoriale IT.
/books/OL56384996M,Mutuo Appoggio,"Il Mutuo Appoggio Tra gli Animali, gli Uomini Primitivi, I Barbari",Peter Kropotkin,2014,9781497380479,CreateSpace Independent Publishing Platform,Histoire | Philosophie | Politique | Sciences | Sciences sociales,FOREIGN_AUTHORS,REVIEW,"Notice conservée en revue: langue, édition, attribution, doublon ou qualité bibliographique restant à confirmer."
/books/OL1179244M,Parole di un ribelle,,Peter Kropotkin,1921,,Casa editrice sociale,Politique,FOREIGN_AUTHORS,KEEP_TRANSLATION,Édition ou traduction italienne validée lors de la revue éditoriale IT.
/books/OL57490083M,Cronache Marziane,,Ray Bradbury,2020,9788804724872,Mondadori,Fiction | Science-fiction | Théâtre,FOREIGN_AUTHORS,KEEP_TRANSLATION,Édition ou traduction italienne validée lors de la revue éditoriale IT.
/books/OL49226330M,Fahrenheit 451,,Ray Bradbury,1989,9788804320258,Arnoldo Mondadori Editore S.p.A.,Fiction | Science-fiction | Théâtre | Éducation,FOREIGN_AUTHORS,KEEP_TRANSLATION,Édition ou traduction italienne validée lors de la revue éditoriale IT.
/books/OL20652038M,Il popolo dell'autunno,,Ray Bradbury,1978,9788817132466,Rizzoli,Fantasy | Fiction | Science-fiction,FOREIGN_AUTHORS,KEEP_TRANSLATION,Édition ou traduction italienne validée lors de la revue éditoriale IT.
/books/OL19312233M,Discorso sul metodo,,René Descartes,1932,,La Nuova Italia,Philosophie | Sciences,FOREIGN_AUTHORS,KEEP_TRANSLATION,Édition ou traduction italienne validée lors de la revue éditoriale IT.
/books/OL15138118M,A bordo con Noè,,Timothy Findley,1985,,Garzanti,Fiction,FOREIGN_AUTHORS,KEEP_TRANSLATION,Édition ou traduction italienne validée lors de la revue éditoriale IT.
/books/OL32114009M,La figlia del pianista,,Timothy Findley,2000,9788804468257,Mondadori,Fiction,FOREIGN_AUTHORS,KEEP_TRANSLATION,Édition ou traduction italienne validée lors de la revue éditoriale IT.
/books/OL32083596M,"Candido, ovvero, L'ottimismo",,Voltaire,1990,9788817151016,Rizzoli,Fiction | Histoire | Philosophie | Politique,FOREIGN_AUTHORS,KEEP_TRANSLATION,Édition ou traduction italienne validée lors de la revue éditoriale IT.
/books/OL25262165M,Dictionnaire philosophique,Dizionario Filosofico a curra di Bruno Segre,Voltaire,1995,9788881110070,BiT,Philosophie,FOREIGN_AUTHORS,REVIEW,"Notice conservée en revue: langue, édition, attribution, doublon ou qualité bibliographique restant à confirmer."
/books/OL12805868M,"La +Vita; E I +Miracoli; Di Libanos Aeth. 106, V.",,A. Bausi,2003,9789042911611,Not Avail,,IT_FINAL_BATCH_01,REVIEW,"Notice conservée en revue: langue, édition, attribution, doublon ou qualité bibliographique restant à confirmer."
/books/OL25326597M,Gli Eredi di Gilgamesh,Dai sumeri alla civiltà democratica,Abdullah Öcalan | Klaus Happel,2011,9788883511486,Punto Rosso,Histoire,IT_FINAL_BATCH_01,KEEP_TRANSLATION,Édition ou traduction italienne validée lors de la revue éditoriale IT.
/books/OL55242657M,Mein Kampf,,Adolf Hitler,2016,9781523324538,CreateSpace Independent Publishing Platform,Biographie | Histoire | Politique,IT_FINAL_BATCH_01,REPLACE,"Notice à remplacer: édition étrangère, classement linguistique inadéquat ou qualité bibliographique insuffisante pour le socle IT."
/books/OL17496380M,Diario della guerra del maiale,,Adolfo Bioy Casares,1997,9788885419407,Giunti,,IT_FINAL_BATCH_01,KEEP_TRANSLATION,Édition ou traduction italienne validée lors de la revue éditoriale IT.
/books/OL59568075M,Oresteia,,Aeschylus,2017,9788811810520,Garzanti,Théâtre,IT_FINAL_BATCH_01,KEEP_TRANSLATION,Édition ou traduction italienne validée lors de la revue éditoriale IT.
/books/OL13430429M,Le Muse a Los Angeles,,Alberto Arbasino,2000,9788845915116,Adelphi,Arts,IT_FINAL_BATCH_01,KEEP_CORE,Socle italien validé lors de la revue éditoriale IT.
/books/OL20000805M,Orologi da polso,,Alberto Uglietti,2007,9788871795492,F. Motta,Histoire,IT_FINAL_BATCH_01,KEEP_CORE,Socle italien validé lors de la revue éditoriale IT.
/books/OL23638966M,beata riva,trattoto del'oblio,Angelo Conti,1900,,Fratelli Treves,Arts | Philosophie,IT_FINAL_BATCH_01,KEEP_CORE,Socle italien validé lors de la revue éditoriale IT.
/books/OL25448728M,Ghiacco,,Anna Kavan,2008,9788834713785,Fanucci,Fiction | Science-fiction,IT_FINAL_BATCH_01,REVIEW,"Notice conservée en revue: langue, édition, attribution, doublon ou qualité bibliographique restant à confirmer."
/books/OL19153146M,Antoni Tàpies.,,Antoni Tàpies,1998,9788881184217,Skira,Arts | Philosophie,IT_FINAL_BATCH_01,KEEP_TRANSLATION,Édition ou traduction italienne validée lors de la revue éditoriale IT.
/books/OL25400923M,"La disciplina pe' grandi teatri, ossia, i precetti regolamentarii pel servizio interno de' medesimi",pensamenti spontanei ed originali,Antonio Larussa,1850,,G. Nobile,,IT_FINAL_BATCH_01,KEEP_CORE,Socle italien validé lors de la revue éditoriale IT.
/books/OL22939038M,Il dio delle piccole cose,,Arundhati Roy,1997,9788877469588,Ugo Guanda editore,Fiction | Romance,IT_FINAL_BATCH_01,KEEP_TRANSLATION,Édition ou traduction italienne validée lors de la revue éditoriale IT.
/books/OL19439289M,"Bartholomæi Anglici De rervm proprietatibus. Frankfurt, 1601.",,Bartholomaeus Anglicus,1964,,Minerva,Histoire | Sciences,IT_FINAL_BATCH_01,REVIEW,"Notice conservée en revue: langue, édition, attribution, doublon ou qualité bibliographique restant à confirmer."
/books/OL25401282M,Le arti figurative nell'arte di Gabriele d'Annunzio,,Bianca Tamassia Mazzarotto,1949,,Fratelli Bocca,Arts,IT_FINAL_BATCH_01,KEEP_CORE,Socle italien validé lors de la revue éditoriale IT.
/books/OL21708275M,Nei limiti del compasso,Locke e le origini della cultura politica e costituzionale americana,Brunella Casalini,2002,9788884830890,Mimesis,Histoire | Philosophie | Politique,IT_FINAL_BATCH_01,KEEP_CORE,Socle italien validé lors de la revue éditoriale IT.
/books/OL32792686M,Bruno Ceccobelli,,Bruno Ceccobelli,1987,9788878131262,De Luca,Arts,IT_FINAL_BATCH_01,KEEP_CORE,Socle italien validé lors de la revue éditoriale IT.
/books/OL35147425M,Continente Perduto,"The Lost Continent, Italian Edition",C. J. Cutcliffe Hyne,2021,9781034647256,"Blurb, Incorporated",Fiction,IT_FINAL_BATCH_01,REVIEW,"Notice conservée en revue: langue, édition, attribution, doublon ou qualité bibliographique restant à confirmer."
/books/OL22092844M,Machiavelli e le sue opere,,Carlo Gioda,1874,,G. Barbèra,Biographie | Histoire | Politique,IT_FINAL_BATCH_01,KEEP_CORE,Socle italien validé lors de la revue éditoriale IT.
/books/OL20651956M,Affari di famiglia,,Catherine Gaskin,1993,9788817114370,Rizzoli,Fiction,IT_FINAL_BATCH_01,KEEP_TRANSLATION,Édition ou traduction italienne validée lors de la revue éditoriale IT.
/books/OL13429674M,Argenti da Tavola e Posate,,Christina Venutia,2007,9788842213321,Umberto Allemandi,,IT_FINAL_BATCH_01,KEEP_CORE,Socle italien validé lors de la revue éditoriale IT.
/books/OL878284M,Storia delle conquiste umane,"esplorazioni, invenzioni, scoperte",Daniel J. Boorstin,1985,,Edizione CDE,Biographie | Histoire | Sciences,IT_FINAL_BATCH_01,KEEP_TRANSLATION,Édition ou traduction italienne validée lors de la revue éditoriale IT.
/books/OL6922066M,Canzoni d'amore e madrigali,,Dante Alighieri,1899,,Pei tipi di S. Landi,,IT_FINAL_BATCH_01,KEEP_CORE,Socle italien validé lors de la revue éditoriale IT.
/books/OL23386072M,"Commedia di Dante Allighieri, preceduta dalla vita e da studi preparatori illustrativi, esposta e commentata da Antonio Lubin.",,Dante Alighieri,1881,,L. Penada,,IT_FINAL_BATCH_01,KEEP_CORE,Socle italien validé lors de la revue éditoriale IT.
/books/OL16523471M,Commento di Francesco da Buti sopra la Divina comedia di Dante Allighieri,,Dante Alighieri,1858,,Fratelli Nistri,,IT_FINAL_BATCH_01,KEEP_CORE,Socle italien validé lors de la revue éditoriale IT.
/books/OL20509646M,"Dante, di giorno in giorno",,Dante Alighieri,1898,,Seeber,,IT_FINAL_BATCH_01,KEEP_CORE,Socle italien validé lors de la revue éditoriale IT.
/books/OL20620881M,"Dante, Petrarch, Camoens: CXXIV Sonnets",,Dante Alighieri,1896,,J. Lane; Copeland & Day,,IT_FINAL_BATCH_01,REPLACE,"Notice à remplacer: édition étrangère, classement linguistique inadéquat ou qualité bibliographique insuffisante pour le socle IT."
/books/OL52726296M,Epistola,,Dante Alighieri,1865,,A. Squilloni,,IT_FINAL_BATCH_01,REVIEW,"Notice conservée en revue: langue, édition, attribution, doublon ou qualité bibliographique restant à confirmer."
/books/OL20577274M,La divina commedia di Dante Allighieri,,Dante Alighieri,1857,,Paroni,,IT_FINAL_BATCH_01,KEEP_CORE,Socle italien validé lors de la revue éditoriale IT.
/books/OL20507117M,"La divina commedia: ridotta a miglior lezione, coll' aiuto di vari testi a penna",,Dante Alighieri,1860,,Giunti Demetra,,IT_FINAL_BATCH_02,KEEP_CORE,Socle italien validé lors de la revue éditoriale IT.
/books/OL20622060M,Pamphlets,,Dante Alighieri,1880,,[various publishing companies],,IT_FINAL_BATCH_02,REVIEW,"Notice conservée en revue: langue, édition, attribution, doublon ou qualité bibliographique restant à confirmer."
