target_index,language,category,priority,target_author,target_work,query_alias,search_mode,work_key,work_title,work_authors,edition_key,edition_title,edition_subtitle,edition_languages,isbn,publisher,publish_date,page_count,cover_id,title_score,author_score,candidate_score,cover_state,cover_width,cover_height,cover_format,cover_local_path,candidate_state,acquisition_search_state,audit_state,audit_flags,final_decision,final_reason
11,LA,CLASSICAL_LITERATURE,1,Sénèque,Phaedra,Seneca,STRICT,/works/OL102316W,Phaedra,Seneca the Younger,/books/OL2189003M,Phaedra,,eng | lat,0521200857,Cambridge University Press,1990,,333852,1.0,0.95,0.9675,VALID_COVER,323,500,JPEG,data/audit/reconstruction-LA-candidate-covers/LA-11-OL2189003M.jpeg,USABLE_CANDIDATE,BEST_CANDIDATE_FOUND,CANDIDATE,MULTILINGUAL:eng | NO_PAGE_COUNT,ACCEPT_BILINGUAL,Édition bilingue/multilingue acceptable : le latin est explicitement présent et l'édition satisfait la cible éditoriale. Cover validée ; pagination à enrichir.
12,LA,CLASSICAL_LITERATURE,1,Lucain,Pharsalia,Lucan,STRICT,/works/OL2566239W,Pharsalia,Lucan,/books/OL24872182M,Pharsalia,,lat,,Sijthoff,1896,,6864709,1.0,1.0,0.95,VALID_COVER,283,500,JPEG,data/audit/reconstruction-LA-candidate-covers/LA-12-OL24872182M.jpeg,USABLE_CANDIDATE,BEST_CANDIDATE_FOUND,CANDIDATE,NO_ISBN | NO_PAGE_COUNT,ACCEPT,Édition latine exploitable et correspondance œuvre/auteur suffisamment forte ; cover validée. Pagination à enrichir ultérieurement si récupérable.
13,LA,CLASSICAL_LITERATURE,1,Apulée,Metamorphoses,Apuleius,STRICT,/works/OL658250W,Metamorphoses,"Lucius Apuleius | William Adlington | Lucio Apuleyo | Lucio Apuleio | Apuleio | Apuleius | Marina Cavalli | Costanza Viareggi | Firenzuola, Agnolo | Matteo Maria Boiardo | Nicolò Zoppino | Vicentio",/books/OL23319243M,The metamorphoses of Apuleius,a romance of the second century,eng | lat,,Longmans,1851,,6539096,0.95,1.0,0.9239999999999999,VALID_COVER,316,500,JPEG,data/audit/reconstruction-LA-candidate-covers/LA-13-OL23319243M.jpeg,USABLE_CANDIDATE,BEST_CANDIDATE_FOUND,CANDIDATE,MULTILINGUAL:eng | NO_ISBN | NO_PAGE_COUNT,REJECT,Édition Longmans 1851 identifiée comme traduction anglaise 'Translated from the Latin' ; ne satisfait pas la cible LA.
14,LA,CLASSICAL_LITERATURE,1,Pétrone,Satyricon,Petronius,STRICT,/works/OL24087002W,Petronii Arbitri Satyricon reliquiae,Petronius,/books/OL31783743M,Petronii Arbitri Satyricon reliquiae,,lat,9783598712579,K.G. Saur,2003,,13164606,0.95,1.0,0.954,VALID_COVER,324,500,JPEG,data/audit/reconstruction-LA-candidate-covers/LA-14-OL31783743M.jpeg,USABLE_CANDIDATE,BEST_CANDIDATE_FOUND,CANDIDATE,NO_PAGE_COUNT,ACCEPT,Édition latine exploitable et correspondance œuvre/auteur suffisamment forte ; cover validée. Pagination à enrichir ultérieurement si récupérable.
15,LA,CLASSICAL_LITERATURE,1,Catulle,Carmina,Gaius Valerius Catullus,STRICT,/works/OL15229222W,Selected poems,Gaius Valerius Catullus,/books/OL23284188M,Carmina,,lat,,Bell,1899,,8235319,1.0,1.0,0.95,VALID_COVER,325,500,JPEG,data/audit/reconstruction-LA-candidate-covers/LA-15-OL23284188M.jpeg,USABLE_CANDIDATE,BEST_CANDIDATE_FOUND,CANDIDATE,NO_ISBN | NO_PAGE_COUNT,ACCEPT,Édition latine exploitable et correspondance œuvre/auteur suffisamment forte ; cover validée. Pagination à enrichir ultérieurement si récupérable.
16,LA,CLASSICAL_LITERATURE,1,Juvénal,Saturae,Juvénal,STRICT,/works/OL15236602W,Saturae,Juvenal,/books/OL23331355M,saturae,,lat,,teubner,1889,,6094345,1.0,1.0,0.95,VALID_COVER,305,500,JPEG,data/audit/reconstruction-LA-candidate-covers/LA-16-OL23331355M.jpeg,USABLE_CANDIDATE,BEST_CANDIDATE_FOUND,CANDIDATE,NO_ISBN | NO_PAGE_COUNT,ACCEPT,Édition latine exploitable et correspondance œuvre/auteur suffisamment forte ; cover validée. Pagination à enrichir ultérieurement si récupérable.
17,LA,CLASSICAL_LITERATURE,1,Martial,Epigrammata,Martialis,STRICT,/works/OL2241482W,Epigrammata,Marcus Valerius Martialis | Paul Barie | Winfried. Schindler | Uwe. Walter,/books/OL23297764M,Epigrammata,,lat,,[Didot],1825,,6495971,1.0,0.95,0.9375,VALID_COVER,313,500,JPEG,data/audit/reconstruction-LA-candidate-covers/LA-17-OL23297764M.jpeg,USABLE_CANDIDATE,BEST_CANDIDATE_FOUND,CANDIDATE,NO_ISBN | NO_PAGE_COUNT,ACCEPT,Édition latine exploitable et correspondance œuvre/auteur suffisamment forte ; cover validée. Pagination à enrichir ultérieurement si récupérable.
18,LA,CLASSICAL_LITERATURE,1,Properce,Elegiae,Sextus Propertius,BROAD,/works/OL1313851W,Elegiae,Sextus Propertius | Albius Tibullus | Georg Luck,/books/OL13989033M,Elegiae quaedam Propertii suethicis versibus expressae annotationibusque instructae,,lat,,Typis J. A. Granberg,1869,,5945780,0.95,1.0,0.9239999999999999,VALID_COVER,325,500,JPEG,data/audit/reconstruction-LA-candidate-covers/LA-18-OL13989033M.jpeg,USABLE_CANDIDATE,BEST_CANDIDATE_FOUND,CANDIDATE,NO_ISBN | NO_PAGE_COUNT,REVIEW,Le titre indique des élégies de Properce rendues en vers suédois ; le statut du texte latin intégral n'est pas assez clair pour valider automatiquement.
19,LA,PHILOSOPHY_RHETORIC,1,Cicéron,De Officiis,Cicero,STRICT,/works/OL67551W,De officiis,Cicero,/books/OL18716582M,De officiis,,eng | lat,0674990331,Harvard University Press,1975,,15151596,1.0,1.0,0.98,VALID_COVER,304,500,JPEG,data/audit/reconstruction-LA-candidate-covers/LA-19-OL18716582M.jpeg,USABLE_CANDIDATE,BEST_CANDIDATE_FOUND,CANDIDATE,MULTILINGUAL:eng | NO_PAGE_COUNT,ACCEPT_BILINGUAL,Édition bilingue/multilingue acceptable : le latin est explicitement présent et l'édition satisfait la cible éditoriale. Cover validée ; pagination à enrichir.
20,LA,PHILOSOPHY_RHETORIC,1,Cicéron,De Re Publica,Cicero,STRICT,/works/OL67541W,De republica,Cicero,/books/OL20299107M,De re publica; De legibus,,eng | lat,0674992350,Cambridge University Press,1928,,9319089,0.95,1.0,0.954,VALID_COVER,314,500,JPEG,data/audit/reconstruction-LA-candidate-covers/LA-20-OL20299107M.jpeg,USABLE_CANDIDATE,BEST_CANDIDATE_FOUND,CANDIDATE,EDITION_COLLISION | MULTILINGUAL:eng | NO_PAGE_COUNT,ACCEPT_BILINGUAL,Édition bilingue/multilingue acceptable : le latin est explicitement présent et l'édition satisfait la cible éditoriale. Cover validée ; pagination à enrichir.
21,LA,PHILOSOPHY_RHETORIC,1,Cicéron,De Legibus,Cicero,STRICT,/works/OL67541W,De republica,Cicero,/books/OL20299107M,De re publica; De legibus,,eng | lat,0674992350,Cambridge University Press,1928,,9319089,0.95,1.0,0.954,VALID_COVER,314,500,JPEG,data/audit/reconstruction-LA-candidate-covers/LA-21-OL20299107M.jpeg,USABLE_CANDIDATE,BEST_CANDIDATE_FOUND,CANDIDATE,EDITION_COLLISION | MULTILINGUAL:eng | NO_PAGE_COUNT,REJECT,Même édition que la cible #20 (De re publica ; De legibus). Une seule édition ne peut pas occuper deux slots d'acquisition ; De Legibus reste à rechercher séparément.
22,LA,PHILOSOPHY_RHETORIC,1,Cicéron,De Oratore,Cicero,STRICT,/works/OL15733517W,Cicero,Cicero,/books/OL16337448M,Cicero.,De oratore ..,lat | eng,0674993829,Harvard University Press,1942,,5436909,0.95,1.0,0.954,VALID_COVER,128,202,JPEG,data/audit/reconstruction-LA-candidate-covers/LA-22-OL16337448M.jpeg,USABLE_CANDIDATE,BEST_CANDIDATE_FOUND,CANDIDATE,MULTILINGUAL:eng | NO_PAGE_COUNT,ACCEPT_BILINGUAL,Édition bilingue/multilingue acceptable : le latin est explicitement présent et l'édition satisfait la cible éditoriale. Cover validée ; pagination à enrichir.
23,LA,PHILOSOPHY_RHETORIC,1,Cicéron,Tusculanae Disputationes,Cicero,STRICT,/works/OL67547W,Tusculanae disputationes,Cicero,/books/OL23351713M,Tusculan disputations,,lat | eng,,Rivington,1851,,6105272,0.9333333333333333,1.0,0.9153333333333333,VALID_COVER,284,500,JPEG,data/audit/reconstruction-LA-candidate-covers/LA-23-OL23351713M.jpeg,USABLE_CANDIDATE,BEST_CANDIDATE_FOUND,CANDIDATE,MULTILINGUAL:eng | NO_ISBN | NO_PAGE_COUNT,ACCEPT_BILINGUAL,Édition bilingue/multilingue acceptable : le latin est explicitement présent et l'édition satisfait la cible éditoriale. Cover validée ; pagination à enrichir.
24,LA,PHILOSOPHY_RHETORIC,1,Sénèque,Epistulae Morales ad Lucilium,Seneca,STRICT,/works/OL102290W,Letters from a Stoic,Seneca the Younger,/books/OL5725664M,Letters from a Stoic.,Epistulae morales ad Lucilium,eng | lat,0140442103,Penguin,1969,,103759,0.95,0.95,0.9415,VALID_COVER,327,500,JPEG,data/audit/reconstruction-LA-candidate-covers/LA-24-OL5725664M.jpeg,USABLE_CANDIDATE,BEST_CANDIDATE_FOUND,CANDIDATE,MULTILINGUAL:eng | NO_PAGE_COUNT,REJECT,"Penguin Letters from a Stoic (1969) est une traduction anglaise de Robin Campbell, pas une édition du texte latin."
25,LA,PHILOSOPHY_RHETORIC,1,Sénèque,De Brevitate Vitae,Seneca,STRICT,/works/OL15222849W,De otio ; De brevitate vitae,Seneca the Younger,/books/OL19138611M,De otio ; De brevitate vitae,,lat | eng,0521582237,Cambridge University Press,2003,,5450431,0.95,0.95,0.9415,VALID_COVER,128,195,JPEG,data/audit/reconstruction-LA-candidate-covers/LA-25-OL19138611M.jpeg,USABLE_CANDIDATE,BEST_CANDIDATE_FOUND,CANDIDATE,MULTILINGUAL:eng | NO_PAGE_COUNT,ACCEPT_BILINGUAL,Édition bilingue/multilingue acceptable : le latin est explicitement présent et l'édition satisfait la cible éditoriale. Cover validée ; pagination à enrichir.
26,LA,PHILOSOPHY_RHETORIC,1,Sénèque,De Clementia,Seneca,BROAD,/works/OL102313W,De clementia,Seneca the Younger,/books/OL19701018M,De clementia =,Über die Güte,ger | lat,3150083850,Reclam,1970,,9840998,1.0,0.95,0.9675,VALID_COVER,322,500,JPEG,data/audit/reconstruction-LA-candidate-covers/LA-26-OL19701018M.jpeg,USABLE_CANDIDATE,BEST_CANDIDATE_FOUND,CANDIDATE,MULTILINGUAL:ger | NO_PAGE_COUNT,ACCEPT_BILINGUAL,Édition bilingue/multilingue acceptable : le latin est explicitement présent et l'édition satisfait la cible éditoriale. Cover validée ; pagination à enrichir.
27,LA,PHILOSOPHY_RHETORIC,1,Lucrèce,De Rerum Natura,Titus Lucretius Carus,BROAD,/works/OL1548597W,De rerum natura,Titus Lucretius Carus,/books/OL22092465M,De rerum natura.,,lat,,The University Press,1889,,10276248,1.0,1.0,0.95,VALID_COVER,311,500,JPEG,data/audit/reconstruction-LA-candidate-covers/LA-27-OL22092465M.jpeg,USABLE_CANDIDATE,BEST_CANDIDATE_FOUND,CANDIDATE,EDITION_COLLISION | NO_ISBN | NO_PAGE_COUNT,ACCEPT,Édition latine exploitable et correspondance œuvre/auteur suffisamment forte ; cover validée. Pagination à enrichir ultérieurement si récupérable.
28,LA,PHILOSOPHY_RHETORIC,1,Lucrèce,De Rerum Natura — alternate scholarly edition,Titus Lucretius Carus,BROAD,/works/OL1548597W,De rerum natura,Titus Lucretius Carus,/books/OL22092465M,De rerum natura.,,lat,,The University Press,1889,,10276248,0.95,1.0,0.9239999999999999,VALID_COVER,311,500,JPEG,data/audit/reconstruction-LA-candidate-covers/LA-28-OL22092465M.jpeg,USABLE_CANDIDATE,BEST_CANDIDATE_FOUND,CANDIDATE,EDITION_COLLISION | NO_ISBN | NO_PAGE_COUNT,REJECT,Même édition que #27 pour De Rerum Natura. La cible demande explicitement une édition savante alternative ; il faut une autre manifestation.
29,LA,PHILOSOPHY_RHETORIC,1,Quintilien,Institutio Oratoria,Quintilian,STRICT,/works/OL1153439W,The Institutio oratoria of Quintilian,Quintilian | H. E. Butler,/books/OL7149233M,The Institutio Oratoria of Quintilian,Books I-III,eng | lat,0674991389,Harvard University Press,1920,,4546737,0.95,1.0,0.954,VALID_COVER,128,195,JPEG,data/audit/reconstruction-LA-candidate-covers/LA-29-OL7149233M.jpeg,USABLE_CANDIDATE,BEST_CANDIDATE_FOUND,CANDIDATE,MULTILINGUAL:eng | NO_PAGE_COUNT,ACCEPT_BILINGUAL,Édition bilingue/multilingue acceptable : le latin est explicitement présent et l'édition satisfait la cible éditoriale. Cover validée ; pagination à enrichir.
30,LA,PHILOSOPHY_RHETORIC,1,Quintilien,Declamationes,Marcus Fabius Quintilianus,BROAD,/works/OL10314001W,Declamationes quae supersunt CXLV,Quintilian,/books/OL23293221M,Declamationes quae supersunt CXLV,,lat,,Teubner,1884,,5755129,0.95,0.95,0.9115,VALID_COVER,326,500,JPEG,data/audit/reconstruction-LA-candidate-covers/LA-30-OL23293221M.jpeg,USABLE_CANDIDATE,BEST_CANDIDATE_FOUND,CANDIDATE,NO_ISBN | NO_PAGE_COUNT,ACCEPT,Édition latine exploitable et correspondance œuvre/auteur suffisamment forte ; cover validée. Pagination à enrichir ultérieurement si récupérable.
31,LA,PHILOSOPHY_RHETORIC,1,Boèce,De Consolatione Philosophiae,Boethius,STRICT,/works/OL1393130W,De consolatione philosophiae,Boethius,/books/OL22340444M,King Alfred's Anglo-Saxon version of Boethius De consolatione philosophiae,"with a literal English translation, notes, and glossary",eng | ang | lat,,G. Bell,1901,,11888152,0.95,1.0,0.9239999999999999,VALID_COVER,308,500,JPEG,data/audit/reconstruction-LA-candidate-covers/LA-31-OL22340444M.jpeg,USABLE_CANDIDATE,BEST_CANDIDATE_FOUND,CANDIDATE,"MULTILINGUAL:ang,eng | NO_ISBN | NO_PAGE_COUNT",REJECT,L'édition 1901 contient l'anglo-saxon et une traduction anglaise en regard ; elle ne fournit pas le texte latin de Boèce comme texte principal de l'édition.
32,LA,PHILOSOPHY_RHETORIC,1,Augustin,Confessiones,Augustin,BROAD,/works/OL137872W,Confessions,Augustine of Hippo,/books/OL13990517M,Confessiones,,lat,,J.H. Parker,1838,,8236919,1.0,0.95,0.9375,VALID_COVER,297,500,JPEG,data/audit/reconstruction-LA-candidate-covers/LA-32-OL13990517M.jpeg,USABLE_CANDIDATE,BEST_CANDIDATE_FOUND,CANDIDATE,NO_ISBN | NO_PAGE_COUNT,ACCEPT,Édition latine exploitable et correspondance œuvre/auteur suffisamment forte ; cover validée. Pagination à enrichir ultérieurement si récupérable.
33,LA,HISTORY,1,Tite-Live,Ab Urbe Condita,Titus Livius,STRICT,/works/OL21230694W,Ab Urbe Condita,Titus Livius | P. G. Walsh,/books/OL28754886M,Ab urbe condita,,lat,,E Typographeo Clarendoniano,1964,,10355803,1.0,1.0,0.95,VALID_COVER,317,500,JPEG,data/audit/reconstruction-LA-candidate-covers/LA-33-OL28754886M.jpeg,USABLE_CANDIDATE,BEST_CANDIDATE_FOUND,CANDIDATE,EDITION_COLLISION | NO_ISBN | NO_PAGE_COUNT,ACCEPT,Édition latine exploitable et correspondance œuvre/auteur suffisamment forte ; cover validée. Pagination à enrichir ultérieurement si récupérable.
34,LA,HISTORY,1,Tite-Live,Ab Urbe Condita — alternate volume or edition,Titus Livius,STRICT,/works/OL21230694W,Ab Urbe Condita,Titus Livius | P. G. Walsh,/books/OL28754886M,Ab urbe condita,,lat,,E Typographeo Clarendoniano,1964,,10355803,0.95,1.0,0.9239999999999999,VALID_COVER,317,500,JPEG,data/audit/reconstruction-LA-candidate-covers/LA-34-OL28754886M.jpeg,USABLE_CANDIDATE,BEST_CANDIDATE_FOUND,CANDIDATE,EDITION_COLLISION | NO_ISBN | NO_PAGE_COUNT,REJECT,Même édition que #33 pour Ab Urbe Condita. La cible demande une autre édition/volume ; il faut une manifestation distincte.
35,LA,HISTORY,1,Tacite,Annales,,,,,,,,,,,,,,,,,,,,,,,,NO_USABLE_CANDIDATE,NO_CANDIDATE,NO_USABLE_CANDIDATE,REJECT,Aucun candidat exploitable n'a été trouvé avec langue latine explicite et cover valide ; la cible reste à acquérir.
36,LA,HISTORY,1,Tacite,Historiae,Tacitus,BROAD,/works/OL8312680W,Histoires,P. Cornelius Tacitus,/books/OL15574919M,Histoires,,fre | lat,2251013415,Les Belles Lettres,1989,,5314247,0.7777777777777778,0.95,0.8519444444444444,VALID_COVER,128,202,JPEG,data/audit/reconstruction-LA-candidate-covers/LA-36-OL15574919M.jpeg,USABLE_CANDIDATE,BEST_CANDIDATE_FOUND,CANDIDATE,MULTILINGUAL:fre | TITLE_MATCH_WEAK | NO_PAGE_COUNT,ACCEPT_BILINGUAL,Édition bilingue/multilingue acceptable : le latin est explicitement présent et l'édition satisfait la cible éditoriale. Cover validée ; pagination à enrichir.
37,LA,HISTORY,1,Tacite,Germania,Tacitus,STRICT,/works/OL1108319W,Dialogus de oratoribus,P. Cornelius Tacitus,/books/OL23294351M,"Dialogus ; Argicola ; and, Germania",,eng | lat,,Clarendon Press,1908,,6033503,0.95,0.95,0.9115,VALID_COVER,319,500,JPEG,data/audit/reconstruction-LA-candidate-covers/LA-37-OL23294351M.jpeg,USABLE_CANDIDATE,BEST_CANDIDATE_FOUND,CANDIDATE,MULTILINGUAL:eng | NO_ISBN | NO_PAGE_COUNT,ACCEPT_BILINGUAL,Édition bilingue/multilingue acceptable : le latin est explicitement présent et l'édition satisfait la cible éditoriale. Cover validée ; pagination à enrichir.
38,LA,HISTORY,1,Salluste,Bellum Catilinae,Sallust,STRICT,/works/OL15225211W,Sallust's Bellum Catilinae,Sallust,/books/OL17923759M,Sallust's Bellum Catilinae,,eng | lat,9780195320848,Oxford University Press,2007,,5389840,0.95,1.0,0.954,VALID_COVER,128,192,JPEG,data/audit/reconstruction-LA-candidate-covers/LA-38-OL17923759M.jpeg,USABLE_CANDIDATE,BEST_CANDIDATE_FOUND,CANDIDATE,MULTILINGUAL:eng | NO_PAGE_COUNT,ACCEPT_BILINGUAL,Édition bilingue/multilingue acceptable : le latin est explicitement présent et l'édition satisfait la cible éditoriale. Cover validée ; pagination à enrichir.
39,LA,HISTORY,1,Salluste,Bellum Iugurthinum,Sallust,STRICT,/works/OL15225196W,Bellum Iugurthinum,Sallust,/books/OL22160359M,Bellum Iugurthinum,,ger | lat,3533021777,Winter,1971,,4504951,1.0,1.0,0.98,VALID_COVER,128,186,JPEG,data/audit/reconstruction-LA-candidate-covers/LA-39-OL22160359M.jpeg,USABLE_CANDIDATE,BEST_CANDIDATE_FOUND,CANDIDATE,MULTILINGUAL:ger | NO_PAGE_COUNT,ACCEPT_BILINGUAL,Édition bilingue/multilingue acceptable : le latin est explicitement présent et l'édition satisfait la cible éditoriale. Cover validée ; pagination à enrichir.
40,LA,HISTORY,1,Suétone,De Vita Caesarum,Suetonius,BROAD,/works/OL812798W,Dē vītā Caesarum,Suetonius,/books/OL14434421M,De vita Caesarum,libri VIII,lat,3519018276,in aedibus B.G. Teubneri,1978,,12958430,1.0,1.0,0.98,VALID_COVER,322,500,JPEG,data/audit/reconstruction-LA-candidate-covers/LA-40-OL14434421M.jpeg,USABLE_CANDIDATE,BEST_CANDIDATE_FOUND,CANDIDATE,NO_PAGE_COUNT,ACCEPT,Édition latine exploitable et correspondance œuvre/auteur suffisamment forte ; cover validée. Pagination à enrichir ultérieurement si récupérable.
