target_index,language,category,priority,target_author,target_work,query_mode,work_key,work_title,work_authors,edition_key,edition_title,edition_subtitle,edition_languages,isbn,publisher,publish_date,page_count,cover_id,title_score,author_score,candidate_score,cover_state,cover_width,cover_height,cover_format,cover_local_path,candidate_state,acquisition_search_state,audit_decision,audit_reason
56,DE,TWENTIETH_CENTURY,1,Stefan Zweig,Ungeduld des Herzens,,,,,,,,,,,,,,,,,,,,,,,NO_USABLE_CANDIDATE,RECOVERY_REQUIRED,Aucun candidat exploitable au premier passage.
58,DE,TWENTIETH_CENTURY,1,Joseph Roth,Radetzkymarsch,,,,,,,,,,,,,,,,,,,,,,,NO_USABLE_CANDIDATE,RECOVERY_REQUIRED,Aucun candidat exploitable au premier passage.
59,DE,TWENTIETH_CENTURY,1,Ödön von Horváth,Jugend ohne Gott,TITLE_AUTHOR,/works/OL12928038M,Jugend ohne Gott. (Lernmaterialien),Ödön von Horváth | Cerstin Urban | Klaus Bahners | Reiner Poppe,/books/OL12928038M,Jugend ohne Gott. (Lernmaterialien),,ger,9783804416734,Bange,"May 1, 2000",,3265883,0.95,1.0,0.9590000000000001,VALID_COVER,341,475,JPEG,data/audit/reconstruction-DE-candidate-covers/DE-059-OL12928038M.jpeg,USABLE_CANDIDATE,BEST_CANDIDATE_FOUND,RECOVERY_EDITORIAL_MISMATCH,"Le candidat automatique ne représente pas suffisamment l'œuvre cible (ouvrage générique, commentaire, matériel pédagogique ou faux positif)."
69,DE,CONTEMPORARY,2,Daniel Kehlmann,Tyll,,,,,,,,,,,,,,,,,,,,,,,NO_USABLE_CANDIDATE,RECOVERY_REQUIRED,Aucun candidat exploitable au premier passage.
70,DE,CONTEMPORARY,2,Jenny Erpenbeck,Heimsuchung,,,,,,,,,,,,,,,,,,,,,,,NO_USABLE_CANDIDATE,RECOVERY_REQUIRED,Aucun candidat exploitable au premier passage.
71,DE,CONTEMPORARY,2,Jenny Erpenbeck,"Gehen, ging, gegangen",,,,,,,,,,,,,,,,,,,,,,,NO_USABLE_CANDIDATE,RECOVERY_REQUIRED,Aucun candidat exploitable au premier passage.
72,DE,CONTEMPORARY,2,W. G. Sebald,Austerlitz,,,,,,,,,,,,,,,,,,,,,,,NO_USABLE_CANDIDATE,RECOVERY_REQUIRED,Aucun candidat exploitable au premier passage.
73,DE,CONTEMPORARY,2,W. G. Sebald,Die Ringe des Saturn,,,,,,,,,,,,,,,,,,,,,,,NO_USABLE_CANDIDATE,RECOVERY_REQUIRED,Aucun candidat exploitable au premier passage.
75,DE,CONTEMPORARY,2,Herta Müller,Atemschaukel,,,,,,,,,,,,,,,,,,,,,,,NO_USABLE_CANDIDATE,RECOVERY_REQUIRED,Aucun candidat exploitable au premier passage.
76,DE,CONTEMPORARY,2,Herta Müller,Herztier,,,,,,,,,,,,,,,,,,,,,,,NO_USABLE_CANDIDATE,RECOVERY_REQUIRED,Aucun candidat exploitable au premier passage.
92,DE,PHILOSOPHY_ESSAYS,1,Theodor W. Adorno,Minima Moralia,,,,,,,,,,,,,,,,,,,,,,,NO_USABLE_CANDIDATE,RECOVERY_REQUIRED,Aucun candidat exploitable au premier passage.
96,DE,HISTORY_SOCIETY,2,Sebastian Haffner,Geschichte eines Deutschen,,,,,,,,,,,,,,,,,,,,,,,NO_USABLE_CANDIDATE,RECOVERY_REQUIRED,Aucun candidat exploitable au premier passage.
97,DE,HISTORY_SOCIETY,2,Victor Klemperer,LTI,,,,,,,,,,,,,,,,,,,,,,,NO_USABLE_CANDIDATE,RECOVERY_REQUIRED,Aucun candidat exploitable au premier passage.
98,DE,HISTORY_SOCIETY,2,Joachim Fest,Hitler,TITLE_AUTHOR,/works/OL2004986W,Der Untergang: Hitler Und Das Ende Des Dritten Reiches,Joachim Fest,/books/OL12978318M,Der Untergang: Hitler Und Das Ende Des Dritten Reiches,Eine Historische Skizze,eng | ger,9783828601727,A. Fest,January 2002,,3277242,0.95,1.0,0.9590000000000001,VALID_COVER,284,475,JPEG,data/audit/reconstruction-DE-candidate-covers/DE-098-OL12978318M.jpeg,USABLE_CANDIDATE,BEST_CANDIDATE_FOUND,RECOVERY_EDITORIAL_MISMATCH,"Le candidat automatique ne représente pas suffisamment l'œuvre cible (ouvrage générique, commentaire, matériel pédagogique ou faux positif)."
100,DE,HISTORY_SOCIETY,2,Hannah Arendt,Eichmann in Jerusalem,,,,,,,,,,,,,,,,,,,,,,,NO_USABLE_CANDIDATE,RECOVERY_REQUIRED,Aucun candidat exploitable au premier passage.
101,DE,HISTORY_SOCIETY,2,Alexander Mitscherlich,Die Unfähigkeit zu trauern,,,,,,,,,,,,,,,,,,,,,,,NO_USABLE_CANDIDATE,RECOVERY_REQUIRED,Aucun candidat exploitable au premier passage.
103,DE,HISTORY_SOCIETY,2,Willy Brandt,Erinnerungen,BROAD,/works/OL4022438W,Freundesland,Rut Brandt,/books/OL1485480M,Freundesland,Erinnerungen,ger,3455084435,Hoffmann und Campe,1992,,2206353,0.95,0.6363636363636364,0.8644545454545456,VALID_COVER,323,475,JPEG,data/audit/reconstruction-DE-candidate-covers/DE-103-OL1485480M.jpeg,USABLE_CANDIDATE,BEST_CANDIDATE_FOUND,RECOVERY_EDITORIAL_MISMATCH,"Le candidat automatique ne représente pas suffisamment l'œuvre cible (ouvrage générique, commentaire, matériel pédagogique ou faux positif)."
107,DE,YOUTH,3,Michael Ende,Die unendliche Geschichte,,,,,,,,,,,,,,,,,,,,,,,NO_USABLE_CANDIDATE,RECOVERY_REQUIRED,Aucun candidat exploitable au premier passage.
110,DE,SCIENCE_CULTURE,3,Carl Friedrich Gauß,Disquisitiones Arithmeticae,,,,,,,,,,,,,,,,,,,,,,,NO_USABLE_CANDIDATE,RECOVERY_REQUIRED,Aucun candidat exploitable au premier passage.
111,DE,SCIENCE_CULTURE,3,Max Planck,Wissenschaftliche Selbstbiographie,,,,,,,,,,,,,,,,,,,,,,,NO_USABLE_CANDIDATE,RECOVERY_REQUIRED,Aucun candidat exploitable au premier passage.
