language,category,author,tier,max_selected,max_total
EN,YOUTH,Philip Pullman,1,9,13
EN,YOUTH,Neil Gaiman,1,10,15
EN,YOUTH,Jacqueline Wilson,2,10,15
EN,YOUTH,Lois Lowry,1,7,10
EN,YOUTH,Katherine Paterson,1,6,9
EN,YOUTH,Louis Sachar,2,6,9
EN,YOUTH,Kate DiCamillo,2,7,10
EN,YOUTH,Rick Riordan,2,10,15
EN,HISTORY_SOCIETY,Eric Hobsbawm,1,10,15
EN,HISTORY_SOCIETY,Tony Judt,1,7,10
EN,HISTORY_SOCIETY,Simon Schama,1,8,12
EN,HISTORY_SOCIETY,Niall Ferguson,2,8,12
EN,HISTORY_SOCIETY,Timothy Snyder,1,7,10
EN,HISTORY_SOCIETY,Anne Applebaum,1,7,10
EN,HISTORY_SOCIETY,Mary Beard,1,7,10
EN,HISTORY_SOCIETY,Peter Frankopan,2,6,9
EN,HISTORY_SOCIETY,Orlando Figes,1,7,10
EN,HISTORY_SOCIETY,Antony Beevor,2,8,12
EN,HISTORY_SOCIETY,Howard Zinn,1,5,8
EN,HISTORY_SOCIETY,Jill Lepore,1,6,9
EN,HISTORY_SOCIETY,David McCullough,2,8,12
EN,HISTORY_SOCIETY,Doris Kearns Goodwin,2,7,10
EN,HISTORY_SOCIETY,Robert Caro,1,7,10
EN,ESSAYS_PHILOSOPHY,John Locke,1,6,9
EN,ESSAYS_PHILOSOPHY,David Hume,1,7,10
EN,ESSAYS_PHILOSOPHY,John Stuart Mill,1,7,10
EN,ESSAYS_PHILOSOPHY,Bertrand Russell,1,8,12
EN,ESSAYS_PHILOSOPHY,Isaiah Berlin,1,7,10
EN,ESSAYS_PHILOSOPHY,John Rawls,1,5,8
EN,ESSAYS_PHILOSOPHY,Martha Nussbaum,1,7,10
EN,ESSAYS_PHILOSOPHY,Peter Singer,1,7,10
EN,ESSAYS_PHILOSOPHY,Susan Sontag,1,7,10
EN,ESSAYS_PHILOSOPHY,George Steiner,2,6,9
EN,ESSAYS_PHILOSOPHY,Christopher Hitchens,2,7,10
EN,ESSAYS_PHILOSOPHY,James Baldwin,1,6,9
EN,ESSAYS_PHILOSOPHY,Rebecca Solnit,1,7,10
EN,ESSAYS_PHILOSOPHY,bell hooks,1,7,10
EN,SCIENCE_CULTURE,Charles Darwin,1,7,10
EN,SCIENCE_CULTURE,Richard Feynman,1,7,10
EN,SCIENCE_CULTURE,Carl Sagan,1,8,12
EN,SCIENCE_CULTURE,Stephen Hawking,1,7,10
EN,SCIENCE_CULTURE,Richard Dawkins,2,8,12
EN,SCIENCE_CULTURE,Stephen Jay Gould,1,8,12
EN,SCIENCE_CULTURE,Oliver Sacks,1,9,13
EN,SCIENCE_CULTURE,Jane Goodall,1,6,9
EN,SCIENCE_CULTURE,Brian Greene,2,6,9
EN,SCIENCE_CULTURE,Neil deGrasse Tyson,2,7,10
EN,SCIENCE_CULTURE,Bill Bryson,2,8,12
EN,GRAPHIC,Alan Moore,1,8,12
EN,GRAPHIC,Neil Gaiman,1,8,12
EN,GRAPHIC,Art Spiegelman,1,5,8
EN,GRAPHIC,Chris Ware,1,5,8
EN,GRAPHIC,Alison Bechdel,1,5,8
EN,GRAPHIC,Marjane Satrapi,1,5,8
EN,GRAPHIC,Craig Thompson,2,5,8
EN,GRAPHIC,Daniel Clowes,2,6,9
EN,GRAPHIC,Jeff Lemire,2,7,10
EN,GRAPHIC,Brian K. Vaughan,2,8,12
EN,GRAPHIC,Gene Luen Yang,2,6,9
