source_key,language,title,publication_year,publisher,isbn,author_count,authors,duplicate_like_groups,suspicious_entity_names,decision,reason
/books/OL6935713M,LA,Corinne,1870,W. I. Pooley & co.,,9,Albertine-Adrienne Necker de Saussure | Arthur Manderley | Necker de Saussure | L. E. L. | Germaine de Staël | Isabel Hill | Isabel Hill | Charles Augustin Sainte-Beuve | Creative Commons,Isabel Hill | Isabel Hill,Creative Commons,,
/books/OL22734805M,EN,"Wissenschaftsethik und Technikfolgenbeurteilung, Bd. 28: Leben mit L arm?: Risikobeurteilung und Regulation des Umgebungsl arms im Verkehrsbereich",,Springer-Verlag GmbH u. Co.KG,9783540345091,8,M. Kloepfer | B. Griefahn | A.M. Kaniowski | G. Klepper | S. Lingner | G. Steinebach | H.B. Weyer | P. Wysk,,,,
/books/OL22064187M,NL,Backstage,2002,Ludion,9789055444236,8,"Dirk Lauwaert | Judith Clarke | Sylvie Richoux | Kristiaan Borret | Agnes Goyvaerts | ModeMuseum (Antwerp, Belgium) | Valerie Steele | Claire Wilcox",,,,
/books/OL22532406M,NL,The magnetic era,2001,NAi Publishers,9789056622992,8,Sebastian Lopez | Rob Perree | Ruth Bellinkx | Heiner Holtappels | Hinke Kappert | Anne van Driel | [name missing] | Marga van Mechelen,,[name missing],,
/books/OL10076029M,EN,The American Journey,1999,Prentice Hall College Div,9780130401496,7,William L. Barney | Jo Ann E. Argersinger | Carl Abbott | Virginia Dejohn Anderson | Robert M. Weir | David R. Goldfield | Peter H. Argersinger,,,,
/books/OL10076030M,EN,The American Journey,1999,Prentice Hall College Div,9780130401519,7,William L. Barney | Jo Ann E. Argersinger | Carl Abbott | Virginia Dejohn Anderson | Robert M. Weir | David R. Goldfield | Peter H. Argersinger,,,,
/books/OL10076028M,EN,The American Journey: A History of the United States,1999,Prentice Hall College Div,9780130401465,7,William L. Barney | Jo Ann E. Argersinger | Carl Abbott | Virginia Dejohn Anderson | Robert M. Weir | David R. Goldfield | Peter H. Argersinger,,,,
/books/OL32376861M,FR,La planète des singes,2012,EP Emmanuel Proust éditions,9782848103884,7,David F. Walker | Carlos Magno | Damian Couceiro | Daryl Gregory | Caleb Monroe | Michael Moreci | Juan Torres García,,,,
/books/OL51747807M,FR,Marrons,2021,LIBRE,9782490403103,7,"Russell Shoats | Quincy Saul | Songe Riddle | Mac McGill | Allen, Hannah (Cartoonist) | Emmy Kepler | Seth Tobocman",,,,
/books/OL43493305M,NL,Théo van Rysselberghe,2022,Uitgeverij Thoth,9789068688047,7,Khadija Jlaidi | Patricia vander Elst-Alexandre | Veronique Jago-Antoine | Claire Maingon | Theo Van Rysselbergerghe | Théo van Rysselberghe | Olivier Bertrand,,,,
/books/OL1821754M,DE,Henry Moore,1988,Galerie Jahrhunderthalle,9783923576302,6,Herbert Edward Read | J. Hedgecoe | David Sylvester | Alan Bowness | Henry Moore | Ann Garrould,,,,
/books/OL5601630M,EN,Henry Moore,1968,F. A. Praeger,,6,Herbert Edward Read | J. Hedgecoe | David Sylvester | Alan Bowness | Henry Moore | Ann Garrould,,,,
/books/OL10091592M,EN,Principles of Biochemistry,1999,Prentice Hall College Div,9780136217152,6,J. David Rawn | Laurence A. Moran | H. Robert Horton | Allen J. Scism | Raymond S. Ochs | K. Gray Scrimgeour,,,,
/books/OL17978416M,ES,Henry Moore,2006,"Fundació ""La Caixa""",9788476649060,6,Herbert Edward Read | J. Hedgecoe | David Sylvester | Alan Bowness | Henry Moore | Ann Garrould,,,,
/books/OL593236M,FR,Discours politiques de Machiavel sur la I. décade de Tite Live,1711,Chez Pierre Mortier ...,,6,Alissa Ardito | Henry Neville | Niccolò Machiavelli | Nathan Tarcov | Harvey C. Mansfield | Ninian Hill Thomson,,,,
/books/OL1866699M,FR,G.W. Leibniz's Monadology,1991,University of Pittsburgh Press,9780822936701,6,Gottfried Wilhelm Leibniz | Joachim Christian Horn | Robert Zimmermann | Robert Zimmermann | Heinrich Köhler | Clara Strack,Robert Zimmermann | Robert Zimmermann,,,
/books/OL8944305M,FR,Henri Moore,2002,Somogy,9782850565878,6,Herbert Edward Read | J. Hedgecoe | David Sylvester | Alan Bowness | Henry Moore | Ann Garrould,,,,
/books/OL19536792M,FR,Tàpies,1989,Rizzoli,9780847809806,6,Anna Agusti | Miquel Tapies | Jean Fremon | Jacques Dupin | Serge Guilbaut | Antoni Tàpies,,,,
/books/OL901136M,IT,Henry Moore,1995,Skira,9788881180127,6,Herbert Edward Read | J. Hedgecoe | David Sylvester | Alan Bowness | Henry Moore | Ann Garrould,,,,
/books/OL4423974M,IT,The discourses.,1970,Penguin Books,9780140400144,6,Alissa Ardito | Henry Neville | Niccolò Machiavelli | Nathan Tarcov | Harvey C. Mansfield | Ninian Hill Thomson,,,,
/books/OL42071782M,NL,De Kerkklokken,2010,LibriVox,,6,Sajad Hussain | Oscar Ellis | Charles Dickens | Richard Doyle | Michael Clay Thompson | William Clarkson Stanfield,,,,
/books/OL4014262M,NL,Henry Moore,1999,Stad Antwerpen,9789072828071,6,Herbert Edward Read | J. Hedgecoe | David Sylvester | Alan Bowness | Henry Moore | Ann Garrould,,,,
/books/OL19792320M,NL,Robert Motherwell,1966,Stedelijk Museum,,6,"Jack Glenn | Motherwell, Robert. | Flam | Dore Ashton | Robert Buck | Constance Glenn",,,,
/books/OL18729882M,EN,Ecology and equity,1995,Penguin Books India,9780140257618,5,Madhav Gadgil | Ramachandra Guha | Madhay Gadgil | Gadgil | Guha,,,,
/books/OL10171877M,EN,Introduction to Social Work,2000,Allyn & Bacon,9780205330515,5,Larry Lorenzo Smith | Milton G. Thackeray | Rex A. Skidmore | O. William Farley | Scott W. Boyle,,,,
/books/OL10163246M,EN,Journeys,1989,Houghton Mifflin Company,9780395436844,5,Mary Lou Alsin | Kathryn Au | Rosalinda B. Barrera | Joseph E. Brzeinski | Ruth P. Bunyan,,,,
/books/OL10175670M,EN,Self-Instruction Pedagogy,2007,Charles C Thomas Pub Ltd,9780398077235,5,Michael L. Wehmeyer | James E. Martin | Deirdre K. Mithaug | Dennis E. Mithaug | Martin Agran,,,,
/books/OL17271217M,FR,Alien 3,1992,J'ai Lu,9782277232940,5,Walter Hill | David Giler | Larry Ferguson | Alan Dean Foster | Vincent Ward,,,,
/books/OL37054414M,FR,Au coeur de la comète,1987,Laffont,9782253060079,5,Gabrielle de Cuir (Duplicate of OL3887357A) | Gregory Benford | David Brin | P J Ochlan | Cassandra De Cuir,,,,
/books/OL18936319M,FR,Chroniques arabes des Croisades,1977,Sindbad,9782727400035,5,"Gabrieli | Gabrieli, Francesco | E. J. Costello | Francesco Gabrieli | Francesco Gabrieli",Francesco Gabrieli | Francesco Gabrieli,,,
/books/OL8839197M,FR,Fatale,1999,Gallimard,9782070407644,5,Max Cabanes | Jean-Patrick Manchette | Donald Nicholson-Smith | David Peace | Doug Headline,,,,
/books/OL13837630M,FR,Histoire de Poupette-a -l'e pingle.,,Frederick Warne,,5,Beatrix Potter | Sam Thiewes | Orla Kiely | Anita C. Nelson | H y Xiao Phd,,,,
/books/OL8984674M,FR,Le livre de la sagesse orientale,1990,Verdier,9782864320562,5,"Shihâboddîn Yahya Sohravardî | Qotboddîn Shîrâzî | Mollâ Sadrâ Shîrâzî | Yaḥyá ibn Ḥabash Suhrawardī | Corbin, Henry.",,,,
/books/OL61364831M,FR,"Y le dernier homme, Volume 3",2013,Urban Comics,9782365772662,5,"Brian K. Vaughan | Pia Guerra | Paul Chadwick | Massimo Carnevale | Marzan, José, Jr.",,,,
/books/OL52386277M,IT,Discourses,1950,Yale University Press,,5,"Richardson, Brian | Niccolò Machiavelli | Ninian Hill Thomson | Bernard Crick | Leslie Walker",,,,
/books/OL17626096M,LA,"Historiae florentinae Nicolai Machiavelli, civis et secretarii florentini",1610,Impensis Lazari Zetzneri Bibliop.,,5,Félix Fernández Murga | Félix Gilbert | Niccolò Machiavelli | Giovanni Battista Niccolini | Peter Whithorne,,,,
/books/OL25418438M,NL,Aphrodite,1987,Areopagus,9789051080933,5,Prepared by Pierre Louys; Willis L. Parker | Pierre Louÿs | Jean-Paul Goujon | Milo Manara | Georges Bess,,,,
/books/OL32344421M,NL,Fantasia,2013,De Wakkere Muis,9789058930088,5,Koldo Biguri | Elisabetta Dami | Larry Keys | David Nel·lo | Titi Plumederat,,,,
/books/OL50435058M,NL,"Het tooneel van Italien, Geopend in de Historie van Florence",1703,,,5,Félix Fernández Murga | Félix Gilbert | Niccolò Machiavelli | Giovanni Battista Niccolini | Peter Whithorne,,,,
