language,category,author,tier,max_selected,max_total
FR,FRENCH_LANGUAGE_CANON,Paul Verlaine,1,12,18
FR,FRENCH_LANGUAGE_CANON,Stéphane Mallarmé,1,8,12
FR,FRENCH_LANGUAGE_CANON,Émile Zola,1,28,40
FR,FRENCH_LANGUAGE_CANON,Guy de Maupassant,1,24,34
FR,FRENCH_LANGUAGE_CANON,Jules Verne,1,35,50
FR,FRENCH_LANGUAGE_CANON,Edmond Rostand,1,8,12
FR,FRENCH_LANGUAGE_CANON,Alphonse Daudet,1,12,18
FR,FRENCH_LANGUAGE_CANON,Joris-Karl Huysmans,2,10,15
FR,FRENCH_LANGUAGE_CANON,Octave Mirbeau,2,10,15
FR,FRENCH_LANGUAGE_CANON,Anatole France,1,15,22
FR,TWENTIETH_CENTURY,Marcel Proust,1,18,26
FR,TWENTIETH_CENTURY,André Gide,1,18,26
FR,TWENTIETH_CENTURY,Paul Valéry,1,12,18
FR,TWENTIETH_CENTURY,Paul Claudel,1,12,18
FR,TWENTIETH_CENTURY,Guillaume Apollinaire,1,12,18
FR,TWENTIETH_CENTURY,Colette,1,20,30
FR,TWENTIETH_CENTURY,Jean Giraudoux,2,12,18
FR,TWENTIETH_CENTURY,Georges Bernanos,1,14,20
FR,TWENTIETH_CENTURY,François Mauriac,1,16,24
FR,TWENTIETH_CENTURY,Roger Martin du Gard,1,12,18
FR,TWENTIETH_CENTURY,Louis-Ferdinand Céline,1,12,18
FR,TWENTIETH_CENTURY,Antoine de Saint-Exupéry,1,10,15
FR,TWENTIETH_CENTURY,Jean-Paul Sartre,1,22,32
FR,TWENTIETH_CENTURY,Simone de Beauvoir,1,18,26
FR,TWENTIETH_CENTURY,Albert Camus,1,20,30
FR,TWENTIETH_CENTURY,André Malraux,1,14,20
FR,TWENTIETH_CENTURY,Raymond Queneau,1,14,20
FR,TWENTIETH_CENTURY,Boris Vian,1,15,22
FR,TWENTIETH_CENTURY,Jean Genet,1,12,18
FR,TWENTIETH_CENTURY,Marguerite Yourcenar,1,14,20
FR,TWENTIETH_CENTURY,Marguerite Duras,1,20,30
FR,TWENTIETH_CENTURY,Nathalie Sarraute,1,12,18
FR,TWENTIETH_CENTURY,Alain Robbe-Grillet,1,12,18
FR,TWENTIETH_CENTURY,Michel Butor,2,10,15
FR,TWENTIETH_CENTURY,Claude Simon,1,12,18
FR,TWENTIETH_CENTURY,Samuel Beckett,1,12,18
FR,TWENTIETH_CENTURY,Julien Gracq,1,10,15
FR,TWENTIETH_CENTURY,Georges Perec,1,16,24
FR,TWENTIETH_CENTURY,Romain Gary,1,20,30
FR,TWENTIETH_CENTURY,Patrick Modiano,1,22,32
FR,TWENTIETH_CENTURY,Michel Tournier,1,12,18
FR,TWENTIETH_CENTURY,J. M. G. Le Clézio,1,20,30
FR,TWENTIETH_CENTURY,Philippe Djian,2,14,20
FR,TWENTIETH_CENTURY,Jean Echenoz,1,14,20
FR,TWENTIETH_CENTURY,Annie Ernaux,1,18,26
FR,TWENTIETH_CENTURY,Georges Simenon,1,35,50
FR,TWENTIETH_CENTURY,Henri Bosco,2,12,18
FR,TWENTIETH_CENTURY,Marcel Aymé,1,16,24
FR,TWENTIETH_CENTURY,Joseph Kessel,1,16,24
FR,TWENTIETH_CENTURY,Hervé Bazin,1,12,18
FR,TWENTIETH_CENTURY,Louis Aragon,1,18,26
FR,TWENTIETH_CENTURY,André Breton,1,14,20
FR,TWENTIETH_CENTURY,Paul Éluard,1,12,18
FR,TWENTIETH_CENTURY,René Char,1,10,15
FR,TWENTIETH_CENTURY,Aimé Césaire,1,12,18
FR,TWENTIETH_CENTURY,Léopold Sédar Senghor,1,12,18
FR,TWENTIETH_CENTURY,Albert Cohen,1,10,15
FR,TWENTIETH_CENTURY,Vercors,2,8,12
FR,TWENTIETH_CENTURY,Jean Anouilh,1,16,24
FR,TWENTIETH_CENTURY,Eugène Ionesco,1,12,18
FR,CONTEMPORARY,Michel Houellebecq,1,12,18
FR,CONTEMPORARY,Amélie Nothomb,1,24,34
FR,CONTEMPORARY,Emmanuel Carrère,1,14,20
FR,CONTEMPORARY,Laurent Gaudé,1,12,18
FR,CONTEMPORARY,Marie NDiaye,1,12,18
FR,CONTEMPORARY,Maylis de Kerangal,1,10,15
FR,CONTEMPORARY,Mathias Énard,1,10,15
FR,CONTEMPORARY,Leïla Slimani,1,8,12
FR,CONTEMPORARY,David Foenkinos,2,16,24
FR,CONTEMPORARY,Delphine de Vigan,1,12,18
FR,CONTEMPORARY,Virginie Despentes,1,10,15
FR,CONTEMPORARY,Sorj Chalandon,1,12,18
FR,CONTEMPORARY,Éric-Emmanuel Schmitt,2,20,30
FR,CONTEMPORARY,Jean-Christophe Rufin,1,14,20
FR,CONTEMPORARY,Muriel Barbery,1,8,12
FR,CONTEMPORARY,Katherine Pancol,2,14,20
FR,CONTEMPORARY,Philippe Claudel,1,12,18
FR,CONTEMPORARY,Pierre Lemaitre,1,14,20
FR,CONTEMPORARY,Fred Vargas,1,18,26
FR,CONTEMPORARY,Michel Bussi,2,16,24
FR,CONTEMPORARY,Guillaume Musso,2,18,26
FR,CONTEMPORARY,Marc Levy,2,18,26
FR,CONTEMPORARY,Karine Tuil,2,10,15
FR,CONTEMPORARY,Alice Zeniter,1,9,13
FR,CONTEMPORARY,Kaouther Adimi,1,8,12
FR,CONTEMPORARY,Nina Bouraoui,1,10,15
FR,CONTEMPORARY,Marie Darrieussecq,1,12,18
FR,CONTEMPORARY,Véronique Ovaldé,2,10,15
FR,CONTEMPORARY,Olivier Adam,2,14,20
FR,CONTEMPORARY,Jean-Philippe Toussaint,1,10,15
FR,CONTEMPORARY,Éric Vuillard,1,9,13
FR,CONTEMPORARY,Alexis Jenni,2,8,12
FR,CONTEMPORARY,Gaël Faye,1,6,9
FR,CONTEMPORARY,Mohamed Mbougar Sarr,1,6,9
FR,CONTEMPORARY,Alain Mabanckou,1,12,18
FR,CONTEMPORARY,Dany Laferrière,1,12,18
FR,CONTEMPORARY,Nancy Huston,1,12,18
FR,CONTEMPORARY,Yasmina Khadra,1,16,24
FR,CONTEMPORARY,Boualem Sansal,1,10,15
FR,CONTEMPORARY,Tahar Ben Jelloun,1,16,24
FR,CONTEMPORARY,Amin Maalouf,1,14,20
FR,CONTEMPORARY,Andreï Makine,1,12,18
FR,CONTEMPORARY,Laurent Binet,1,8,12
FR,CONTEMPORARY,Grégoire Delacourt,2,10,15
FR,CONTEMPORARY,Jean Teulé,2,12,18
FR,CONTEMPORARY,Daniel Pennac,1,16,24
FR,CONTEMPORARY,Anna Gavalda,2,10,15
FR,CONTEMPORARY,Aurélien Bellanger,2,7,10
FR,CONTEMPORARY,Nicolas Mathieu,1,7,10
FR,CONTEMPORARY,Valérie Perrin,2,8,12
FR,YOUTH,Jules Verne,1,20,30
FR,YOUTH,Antoine de Saint-Exupéry,1,8,12
FR,YOUTH,Marcel Aymé,1,10,15
FR,YOUTH,René Goscinny,1,20,30
FR,YOUTH,Jean-Jacques Sempé,1,12,18
FR,YOUTH,Daniel Pennac,1,14,20
FR,YOUTH,Marie-Aude Murail,1,18,26
FR,YOUTH,Timothée de Fombelle,1,10,15
FR,YOUTH,Erik L'Homme,1,10,15
FR,YOUTH,Pierre Bottero,1,14,20
FR,YOUTH,Jean-Claude Mourlevat,1,12,18
FR,YOUTH,Susie Morgenstern,1,16,24
FR,YOUTH,Claude Ponti,1,18,26
FR,YOUTH,Tomi Ungerer,1,14,20
FR,YOUTH,Geoffroy de Pennart,2,12,18
FR,YOUTH,Grégoire Solotareff,2,14,20
FR,YOUTH,Évelyne Brisou-Pellen,2,14,20
FR,YOUTH,Malika Ferdjoukh,2,12,18
FR,YOUTH,Mourlevat,2,8,12
FR,YOUTH,Sophie Audouin-Mamikonian,2,12,18
FR,YOUTH,Christophe Mauri,2,8,12
FR,YOUTH,Max Ducos,2,8,12
FR,YOUTH,Anne Fine,3,8,12
FR,YOUTH,Yaël Hassan,2,9,13
FR,YOUTH,Gudule,2,10,15
FR,HISTORY_SOCIETY,Marc Bloch,1,10,15
FR,HISTORY_SOCIETY,Lucien Febvre,1,8,12
FR,HISTORY_SOCIETY,Fernand Braudel,1,12,18
FR,HISTORY_SOCIETY,Georges Duby,1,14,20
FR,HISTORY_SOCIETY,Jacques Le Goff,1,14,20
FR,HISTORY_SOCIETY,Emmanuel Le Roy Ladurie,1,12,18
FR,HISTORY_SOCIETY,Pierre Nora,1,10,15
FR,HISTORY_SOCIETY,Mona Ozouf,1,10,15
FR,HISTORY_SOCIETY,Michelle Perrot,1,10,15
FR,HISTORY_SOCIETY,Robert Badinter,1,10,15
FR,HISTORY_SOCIETY,Benjamin Stora,1,12,18
FR,HISTORY_SOCIETY,Patrick Boucheron,1,10,15
FR,HISTORY_SOCIETY,Michel Winock,1,12,18
FR,HISTORY_SOCIETY,Jean-Pierre Rioux,2,10,15
FR,HISTORY_SOCIETY,Antoine Prost,2,9,13
FR,HISTORY_SOCIETY,Henry Rousso,1,9,13
FR,HISTORY_SOCIETY,Gérard Noiriel,1,10,15
FR,HISTORY_SOCIETY,Pascal Blanchard,2,9,13
FR,HISTORY_SOCIETY,Jean-Noël Jeanneney,2,10,15
FR,HISTORY_SOCIETY,Maurice Agulhon,1,10,15
FR,HISTORY_SOCIETY,René Rémond,1,10,15
FR,HISTORY_SOCIETY,Jean Tulard,1,12,18
FR,HISTORY_SOCIETY,Jean Favier,1,12,18
FR,HISTORY_SOCIETY,Alain Corbin,1,10,15
FR,HISTORY_SOCIETY,Jean Delumeau,1,10,15
FR,ESSAYS_PHILOSOPHY,René Descartes,1,12,18
FR,ESSAYS_PHILOSOPHY,Blaise Pascal,1,10,15
FR,ESSAYS_PHILOSOPHY,Montesquieu,1,8,12
FR,ESSAYS_PHILOSOPHY,Jean-Jacques Rousseau,1,12,18
FR,ESSAYS_PHILOSOPHY,Denis Diderot,1,10,15
FR,ESSAYS_PHILOSOPHY,Auguste Comte,1,8,12
FR,ESSAYS_PHILOSOPHY,Henri Bergson,1,12,18
FR,ESSAYS_PHILOSOPHY,Gaston Bachelard,1,12,18
FR,ESSAYS_PHILOSOPHY,Jean-Paul Sartre,1,12,18
FR,ESSAYS_PHILOSOPHY,Simone de Beauvoir,1,10,15
FR,ESSAYS_PHILOSOPHY,Maurice Merleau-Ponty,1,10,15
FR,ESSAYS_PHILOSOPHY,Paul Ricœur,1,12,18
FR,ESSAYS_PHILOSOPHY,Michel Foucault,1,14,20
FR,ESSAYS_PHILOSOPHY,Gilles Deleuze,1,12,18
FR,ESSAYS_PHILOSOPHY,Jacques Derrida,1,12,18
FR,ESSAYS_PHILOSOPHY,Edgar Morin,1,16,24
FR,ESSAYS_PHILOSOPHY,Emmanuel Levinas,1,10,15
FR,ESSAYS_PHILOSOPHY,Roland Barthes,1,14,20
FR,ESSAYS_PHILOSOPHY,Pierre Bourdieu,1,14,20
FR,ESSAYS_PHILOSOPHY,Raymond Aron,1,12,18
FR,ESSAYS_PHILOSOPHY,André Comte-Sponville,2,10,15
FR,ESSAYS_PHILOSOPHY,Cynthia Fleury,2,8,12
FR,SCIENCE_CULTURE,Georges Lemaître,1,6,9
FR,SCIENCE_CULTURE,Henri Poincaré,1,10,15
FR,SCIENCE_CULTURE,Louis Pasteur,1,8,12
FR,SCIENCE_CULTURE,Claude Bernard,1,8,12
FR,SCIENCE_CULTURE,Marie Curie,1,8,12
FR,SCIENCE_CULTURE,Henri Laborit,1,10,15
FR,SCIENCE_CULTURE,Hubert Reeves,1,14,20
FR,SCIENCE_CULTURE,Étienne Klein,1,12,18
FR,SCIENCE_CULTURE,Jean-Pierre Luminet,1,12,18
FR,SCIENCE_CULTURE,Axel Kahn,2,10,15
FR,SCIENCE_CULTURE,Albert Jacquard,1,12,18
FR,SCIENCE_CULTURE,Yves Coppens,1,10,15
FR,SCIENCE_CULTURE,Boris Cyrulnik,2,14,20
FR,SCIENCE_CULTURE,Michel Serres,1,14,20
FR,SCIENCE_CULTURE,François Jacob,1,8,12
FR,SCIENCE_CULTURE,Jacques Monod,1,8,12
FR,GRAPHIC,Hergé,1,20,30
FR,GRAPHIC,René Goscinny,1,24,34
FR,GRAPHIC,Albert Uderzo,1,20,30
FR,GRAPHIC,Morris,1,20,30
FR,GRAPHIC,André Franquin,1,20,30
FR,GRAPHIC,Peyo,1,20,30
FR,GRAPHIC,Jean Giraud,1,18,26
FR,GRAPHIC,Moebius,1,16,24
FR,GRAPHIC,Enki Bilal,1,16,24
FR,GRAPHIC,Jacques Tardi,1,18,26
FR,GRAPHIC,Claire Bretécher,1,14,20
FR,GRAPHIC,Jean Van Hamme,1,20,30
FR,GRAPHIC,Philippe Francq,2,12,18
FR,GRAPHIC,François Bourgeon,1,12,18
FR,GRAPHIC,Zep,2,16,24
FR,GRAPHIC,Riad Sattouf,1,14,20
FR,GRAPHIC,Joann Sfar,1,16,24
FR,GRAPHIC,Marjane Satrapi,1,10,15
FR,GRAPHIC,Pénélope Bagieu,1,10,15
FR,GRAPHIC,Guy Delisle,1,12,18
